Transaction_ID,Date_Time,Branch,Product_Name,Size,Unit_Price,Quantity,Discount_Rate,Topping_Type,Customer_ID,Customer_Age,Customer_Gender,Membership_Status,Payment_Method,Order_Source,Delivery_Time_Min,Delivery_Distance_KM,Staff_ID,Temperature_Celsius,Humidity_Percent,Store_Rating,Is_Public_Holiday,Category,Region,Is_Weekend,Hour_of_Day,Tax_Amount
105526,27/02/2024 13:15,Cairo-Nasr City,Rice Pudding Nuts,Small,48.6,9,0.15,None,64440,67,Female,Bronze,Credit Card,In-store,32,12.5,146,21.8,84.2,3,0,Traditional,Greater Cairo,0,13,61.24
100772,09/01/2024 00:45,Mansoura-Mashaya,Super B.Laban,Medium,54.45,2,0.05,Lotus,52080,32,Male,Bronze,Instapay,Talabat,96,3.4,143,27.7,37.3,1,0,Signature,Delta,0,0,15.25
107840,22/03/2024 15:45,Alex-Stanly,Om Ali Cream,Large,58.06,7,0,Nuts,73849,53,Female,None,Instapay,In-store,67,13.4,107,33.8,27.7,1,1,Traditional,Alexandria,1,15,56.9
102396,25/01/2024 22:45,Giza-Zayed,Om Ali Cream,Medium,97.63,6,0,None,77779,33,Female,None,Instapay,Talabat,43,11.5,117,28.9,61.4,1,0,Traditional,Greater Cairo,0,22,82.01
101479,16/01/2024 09:30,Tanta-Saeed,Sweet Koshary Mix,Medium,42.94,11,0.15,Lotus,56622,,,Bronze,Cash,In-store,79,12,128,22.4,37.6,4,0,Signature,Delta,0,9,66.13
101847,20/01/2024 05:30,Riyadh-Olaya,Sweet Koshary Mix,Large,98.86,11,0.15,Nutella,61798,44,Male,None,Wallet,Mobile App,53,12.4,114,36.7,83.7,1,0,Signature,KSA,1,5,152.24
109109,04/04/2024 21:00,Dubai-Marina,Qishtouza Nutella,Large,99.56,6,0,Nuts,60747,41,Female,,Wallet,ElMenus,112,2.3,133,42,62.9,3,0,Modern,UAE,0,21,83.63
104275,14/02/2024 12:30,Mansoura-Mashaya,Qishtouza Lotus,Small,100.65,7,0,Nutella,69213,72,Female,,Credit Card,Talabat,39,12.5,113,28.6,64,3,0,Modern,Delta,0,12,98.64
103741,08/02/2024 23:00,Alex-Stanly,Rice Pudding Nuts,Medium,111.21,2,0,Pistachio,81348,14,Male,None,Cash,Mobile App,114,9.1,123,34.5,40.5,,0,Traditional,Alexandria,0,23,31.14
104601,17/02/2024 22:00,Mansoura-Mashaya,Ice Cream Mango,Small,119.79,4,0,Nuts,75278,,Female,Bronze,Wallet,In-store,21,13.2,143,43.2,32.3,1,0,Ice Cream,Delta,1,22,67.08
108088,25/03/2024 05:45,Alex-Stanly,Ice Cream Mango,Medium,165.32,10,0.1,None,66896,60,Female,Bronze,Instapay,Talabat,110,5.7,132,19.5,61.5,2,0,Ice Cream,Alexandria,0,5,231.45
108711,31/03/2024 17:30,Giza-Zayed,Qishtouza Nutella,Large,154.26,4,0,,77164,14,Male,None,Credit Card,Talabat,68,10.5,141,16.4,64.6,5,0,Modern,Greater Cairo,1,17,86.39
106677,10/03/2024 13:00,Alex-Stanly,Qishtouza Nutella,Medium,135.23,10,0.1,Nutella,78761,,Male,Gold,Instapay,Mobile App,64,6.9,108,42,21.9,2,0,Modern,Alexandria,1,13,189.32
106376,07/03/2024 09:45,Cairo-Zamalek,Sweet Koshary Mix,Medium,99.48,9,0,,84260,59,Female,,Wallet,Mobile App,33,2.9,141,44.3,42.6,5,0,Signature,Greater Cairo,0,9,125.34
108125,25/03/2024 15:00,Cairo-Zamalek,Ice Cream Mango,Medium,123.94,8,0,Pistachio,62146,,Female,Bronze,Cash,In-store,92,5,134,34.7,51.3,3,0,Ice Cream,Greater Cairo,0,15,138.81
109539,09/04/2024 08:30,Tanta-Saeed,Rice Pudding Nuts,Medium,138.38,11,0.05,Pistachio,85623,21,Female,Gold,Credit Card,In-store,29,9.1,106,31.9,60.4,5,0,Traditional,Delta,0,8,213.11
