Transaction_ID,Date_Time,Branch,Product_Name,Size,Unit_Price,Quantity,Discount_Rate,Topping_Type,Customer_ID,Customer_Age,Customer_Gender,Membership_Status,Payment_Method,Order_Source,Delivery_Time_Min,Delivery_Distance_KM,Staff_ID,Temperature_Celsius,Humidity_Percent,Store_Rating,Is_Public_Holiday,Category,Region,Is_Weekend,Hour_of_Day,Tax_Amount,Total_Revenue,Year,month,day,Shift,Discount_Group,Temperature_Group
105526,2024-02-27 13:15:00,Cairo-Nasr City,Rice Pudding Nuts,Small,48.6,9,0.15,none,64440,67.0,Female,Bronze,Credit Card,In-store,32,12.5,146,21.8,84.2,3.0,0,Traditional,Greater Cairo,0,13,61.24,498.64000000000004,2024,2,27,Afternoon,Medium Discount,Moderate
100772,2024-01-09 00:45:00,Mansoura-Mashaya,Super B.Laban,Medium,54.45,2,0.05,Lotus,52080,32.0,Male,Bronze,Instapay,Talabat,96,3.4,143,27.7,37.3,1.0,0,Signature,Delta,0,0,15.25,124.15,2024,1,9,Late Night,Low Discount,Hot
107840,2024-03-22 15:45:00,Alex-Stanly,Om Ali Cream,Large,58.06,7,0.0,Nuts,73849,53.0,Female,Unknown,Instapay,In-store,67,13.4,107,33.8,27.7,1.0,1,Traditional,Alexandria,1,15,56.9,463.32,2024,3,22,Afternoon,No Discount,Hot
102396,2024-01-25 22:45:00,Giza-Zayed,Om Ali Cream,Medium,97.63,6,0.0,none,77779,33.0,Female,Unknown,Instapay,Talabat,43,11.5,117,28.9,61.4,1.0,0,Traditional,Greater Cairo,0,22,82.01,667.79,2024,1,25,Late Night,No Discount,Hot
101479,2024-01-16 09:30:00,Tanta-Saeed,Sweet Koshary Mix,Medium,42.94,11,0.15,Lotus,56622,43.5,Female,Bronze,Cash,In-store,79,12.0,128,22.4,37.6,4.0,0,Signature,Delta,0,9,66.13,538.47,2024,1,16,Morning,Medium Discount,Moderate
101847,2024-01-20 05:30:00,Riyadh-Olaya,Sweet Koshary Mix,Large,98.86,11,0.15,Nutella,61798,44.0,Male,Unknown,Wallet,Mobile App,53,12.4,114,36.7,83.7,1.0,0,Signature,KSA,1,5,152.24,1239.7,2024,1,20,Morning,Medium Discount,Hot
109109,2024-04-04 21:00:00,Dubai-Marina,Qishtouza Nutella,Large,99.56,6,0.0,Nuts,60747,41.0,Female,Unknown,Wallet,ElMenus,112,2.3,133,42.0,62.9,3.0,0,Modern,UAE,0,21,83.63,680.99,2024,4,4,Evening,No Discount,Hot
104275,2024-02-14 12:30:00,Mansoura-Mashaya,Qishtouza Lotus,Small,100.65,7,0.0,Nutella,69213,72.0,Female,Unknown,Credit Card,Talabat,39,12.5,113,28.6,64.0,3.0,0,Modern,Delta,0,12,98.64,803.19,2024,2,14,Afternoon,No Discount,Hot
103741,2024-02-08 23:00:00,Alex-Stanly,Rice Pudding Nuts,Medium,111.21,2,0.0,Pistachio,81348,14.0,Male,Unknown,Cash,Mobile App,114,9.1,123,34.5,40.5,3.0,0,Traditional,Alexandria,0,23,31.14,253.56,2024,2,8,Late Night,No Discount,Hot
104601,2024-02-17 22:00:00,Mansoura-Mashaya,Ice Cream Mango,Small,119.79,4,0.0,Nuts,75278,43.5,Female,Bronze,Wallet,In-store,21,13.2,143,43.2,32.3,1.0,0,Ice Cream,Delta,1,22,67.08,546.24,2024,2,17,Late Night,No Discount,Hot
108088,2024-03-25 05:45:00,Alex-Stanly,Ice Cream Mango,Medium,165.32,10,0.1,none,66896,60.0,Female,Bronze,Instapay,Talabat,110,5.7,132,19.5,61.5,2.0,0,Ice Cream,Alexandria,0,5,231.45,1884.6499999999999,2024,3,25,Morning,Medium Discount,Cold
108711,2024-03-31 17:30:00,Giza-Zayed,Qishtouza Nutella,Large,154.26,4,0.0,none,77164,14.0,Male,Unknown,Credit Card,Talabat,68,10.5,141,16.4,64.6,5.0,0,Modern,Greater Cairo,1,17,86.39,703.43,2024,3,31,Evening,No Discount,Cold
106677,2024-03-10 13:00:00,Alex-Stanly,Qishtouza Nutella,Medium,135.23,10,0.1,Nutella,78761,43.5,Male,Gold,Instapay,Mobile App,64,6.9,108,42.0,21.9,2.0,0,Modern,Alexandria,1,13,189.32,1541.62,2024,3,10,Afternoon,Medium Discount,Hot
106376,2024-03-07 09:45:00,Cairo-Zamalek,Sweet Koshary Mix,Medium,99.48,9,0.0,none,84260,59.0,Female,Unknown,Wallet,Mobile App,33,2.9,141,44.3,42.6,5.0,0,Signature,Greater Cairo,0,9,125.34,1020.6600000000001,2024,3,7,Morning,No Discount,Hot
108125,2024-03-25 15:00:00,Cairo-Zamalek,Ice Cream Mango,Medium,123.94,8,0.0,Pistachio,62146,43.5,Female,Bronze,Cash,In-store,92,5.0,134,34.7,51.3,3.0,0,Ice Cream,Greater Cairo,0,15,138.81,1130.33,2024,3,25,Afternoon,No Discount,Hot
109539,2024-04-09 08:30:00,Tanta-Saeed,Rice Pudding Nuts,Medium,138.38,11,0.05,Pistachio,85623,21.0,Female,Gold,Credit Card,In-store,29,9.1,106,31.9,60.4,5.0,0,Traditional,Delta,0,8,213.11,1735.29,2024,4,9,Morning,Low Discount,Hot
104916,2024-02-21 04:45:00,Cairo-Zamalek,Om Ali Cream,Small,109.17,10,0.15,Nuts,80469,72.0,Male,Silver,Cash,Talabat,90,12.3,126,27.5,55.6,2.0,0,Traditional,Greater Cairo,0,4,152.84,1244.54,2024,2,21,Late Night,Medium Discount,Hot
